,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,,
2,TEN,1,7:37,Tied,2,9,-42,Pass,11,"""+2x2*"", shotgun offset L",,,,Boldin (L2),Inc.,0,,,M,S,,,Double A Gap,4,,,,,,,,,,,
2,TEN,1,7:34,Tied,3,9,-42,Pass,11,"""+3x1-"", shotgun offset R","RB bk, TE in",,,Tate (L3),Inc.,0,,,RM,ID,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,1,6:43,Up 2,1,10,-31,Pass,11,"""+2x2+"", shotgun offset R",,,,M. Jones (L1),Catch,30,,,LS,D,,,Other Odd,5,,,,,,,,,,,
2,TEN,1,6:26,Up 2,1,10,+39,Pass,11,"""+2x2+"", singleback",,,,Boldin (R2),Catch,12,,,WR Screen R,S,,,Under,4,,,,,,,,,,,
2,TEN,1,5:47,Up 2,2,7,+24,Pass,11,"""-3x1*"", shotgun offset R",,,,"Ebron (L LOS TE, 3)",Catch,6,,,LS,S,,,Over,4,,,,,,,,,,,
2,TEN,1,4:28,Up 2,1,20,+24,Pass,11,"""+2x2*"", shotgun offset L",,,,Ebron (R2),Inc.,0,,,RM,ID,,,Other Odd,5,,,,,,,,,,,
2,TEN,1,4:23,Up 2,2,20,+24,Pass,11,"""+3x2*"", shotgun",,,,Boldin (L2),"Catch, TD",24,,,LM,D,,,Other Even,3,,,,,,,,,,,
2,TEN,2,11:19,Up 6,2,3,-34,Pass,12,"""-2x2+"", closed L, dual TE LOS, shotgun offset R",,,,M. Jones (R1),Inc.,0,,Soft,RM,S,,,Under,4,,,,,,,,,,,
2,TEN,2,11:15,Up 6,3,3,-34,Pass,11,"""-2x2+"", shotgun offset R",WR in,,,Boldin (R2),Catch,6,,,RS,S,,,Under,3,,,,,,,,,,,
2,TEN,2,10:26,Up 6,1,20,-30,Pass,11,"""+3x2+"", shotgun",,,,Tate (L1),Inc.,0,,,LS,D,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,2,10:20,Up 6,2,20,-30,Pass,11,"""+3x1*"", shotgun offset R",,,,"Riddick (R RB, 2)",Catch,12,,,RB Screen R,S,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,2,8:38,Up 6,2,11,+47,Pass,11,"""-2x2+"", shotgun offset R",,,,M. Jones (R1),Catch,9,,,RM,S,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,2,4:19,Up 6,2,9,-2,Pass,12,"""-2x2+"", closed L, dual TE LOS, shotgun offset R",,,,M. Jones (R1),Catch,4,,Soft,RM,S,,,Over,4,,,,,,,,,,,
2,TEN,2,3:38,Up 6,3,5,-6,Pass,11,"""+2x2+"", shotgun offset L",,,,M. Jones (R1),Catch,9,,,RS,S,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,2,2:16,Up 6,1,10,-44,Pass,11,"""*2x2*"", shotgun offset L",WR in,,,Boldin (L1),Inc.,0,,Soft,WR Screen L,S,,,Over,4,,,,,,,,,,,
2,TEN,2,2:00,Up 6,3,9,-45,Pass,11,"""+3x1*"", shotgun offset R",RB bk,,,M. Jones (R1),Catch,47,,,RS,S,,,Other Odd,6,,,,,,,,,,,
2,TEN,2,1:30,Up 6,1,21,+21,Pass,11,"""+3x1-"", closed R, shotgun offset L",,,,Tate (L3),Catch,,"Off. Holding, Boldin, -10",Hard,WR Screen L,S,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,2,1:23,Up 6,1,26,+26,Pass,11,"""+2x2+"", shotgun offset L",,,,M. Jones (R1),Inc.,0,,,RS,D,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,2,1:19,Up 6,2,26,+26,Pass,11,"""+3x1*"", shotgun offset L",,,,Throwaway,Inc.,0,,,,,,,Under,5,,,,,,,,,,,
2,TEN,2,0:15,Up 9,1,10,-34,Pass,11,"""+3x1+"", shotgun offset R",,,,,"Sack, Dodd",-6,,,,,,,Other Odd,4,,,,,,,,,,,
2,TEN,3,14:37,Up 9,2,4,-31,Pass,11,"""+2x2+"", shotgun offset R",,,,M. Jones (L1),Catch,8,,,LM,S,,,Over,4,,,,,,,,,,,
2,TEN,3,13:51,Up 9,1,15,-34,Pass,11,"""+3x1+"", shotgun offset R",,,,,"Sack, Orakpo",-1,,,,,,,Over,4,,,,,,,,,,,
2,TEN,3,13:19,Up 9,2,16,-33,Pass,11,"""*2x2+"", shotgun offset L",,,,Boldin (R2),Catch,6,,Soft,M,S,,,Other Odd,3,,,,,,,,,,,
2,TEN,3,12:35,Up 9,3,10,-39,Pass,11,"""*1x3+"", pistol",TE in,,,Tate (R1),Inc.,0,,Hard,WR Screen R,S,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,3,7:44,Up 9,1,10,-46,Pass,12,"""*2x2+"", singleback",,,,"Ebron (L LOS TE, 2)",Catch,11,"Off. Unnecessary roughness, Tate, -15","Hard, roll",RS,S,,,Under,4,,,,,,,,,,,
2,TEN,3,6:44,Up 9,2,6,-46,Pass,11,"""+2x2*"", shotgun offset R",,,,M. Jones (L1),Inc.,0,,,LS,ID,,,2 Eagle Odd,5,,,,,,,,,,,
2,TEN,3,6:38,Up 9,3,6,-46,Pass,11,"""+2x2+"", shotgun offset L",,,,Ebron (R1),Catch,7,,,RM,S,,,Other Odd,4,,,,,,,,,,,
2,TEN,3,5:07,Up 9,1,10,+41,Pass,11,"""+2x2*"", pistol",TE orbit,,,Tate (R1),Inc.,0,,Hard,RS,D,,,Over,4,,,,,,,,,,,
2,TEN,3,2:27,Up 9,1,G-10,+10,Pass,11,"""+2x2-"", singlback",,,,M. Jones (L1),Catch,1,,,WR Screen L,S,,,Over,4,,,,,,,,,,,
2,TEN,3,1:54,Up 9,2,G-9,+9,Pass,11,"""-1x3+"", pistol",,,,Riddick (RB 0),Inc.,0,,,Swing L,S,,,Under,4,,,,,,,,,,,
2,TEN,3,1:49,Up 9,3,G-9,+9,Pass,11,"""+2x3+"", shotgun",WR out,,,Ebron (L2),Inc.,0,,,LS,IS,,,Over,4,,,,,,,,,,,
2,TEN,4,14:54,Up 5,1,10,-25,Pass,21,"""+1x2*"", shotgun 2 RB",,,,"Riddick (L RB, 2)",Catch,8,,,LM,S,,,Over,4,,,,,,,,,,,
2,TEN,4,14:11,Up 5,2,2,-33,Pass,12,"""+3x1+"", dual TE LOS, singleback",,,,M. Jones (R1),Catch,10,,"Hard, roll",RS,IS,,,Other Odd,3,,,,,,,,,,,
2,TEN,4,12:43,Up 5,1,10,+44,Pass,11,"""*2x2+"", pistol",,,,,"Sack, Klug",-6,,Hard,,,,,Over,4,,,,,,,,,,,
2,TEN,4,11:59,Up 5,2,16,50,Pass,11,"""*2x3+"", shotgun",,,,Tate (L1),Inc.,0,,,LS,D,,,Under,4,,,,,,,,,,,
2,TEN,4,11:52,Up 5,3,16,50,Pass,11,"""*1x3+"", shotgun offset L",,,,"Riddick (L RB, 2)",Catch,8,,,RB Screen L,S,,,Over,4,,,,,,,,,,,
2,TEN,4,8:40,Up 5,1,10,-36,Pass,11,"""*2x2+"", shotgun offset R",,,,Tate (L1),Catch,8,,,LS,S,,,Over,4,,,,,,,,,,,
2,TEN,4,7:22,Up 5,3,4,-42,Pass,11,"""*1x3+"", shotgun offset L",,,,Tate (R1),Inc.,0,,,RS,D,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,4,1:13,Down 1,1,10,-25,Pass,11,"""+2x2+"", shotgun offset R",,,,Boldin (L2),Inc.,0,,,LS,S,,,Under,4,,,,,,,,,,,
2,TEN,4,1:09,Down 1,2,10,-25,Pass,11,"""+1x3+"", shotgun offset L",,,,,"Sack, Orakpo",-9,,,,,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,4,1:04,Down 1,3,19,-16,Pass,11,"""-2x2+"", shotgun offset L",,,,Ebron (R2),Catch,29,,,M,ID,,,Over,4,,,,,,,,,,,
2,TEN,4,0:38,Down 1,1,10,-45,Pass,11,"""*1x3+"", shotgun offset L",,,,Tate (R1),Inc.,0,,,RS,S,,,Under,4,,,,,,,,,,,
2,TEN,4,0:34,Down 1,2,10,-45,Pass,11,"""*1x3+"", shotgun offset L",,,,"Riddick (L RB, 2)",Catch,0,,,LS,S,,,2 Eagle Even,4,,,,,,,,,,,
2,TEN,4,0:28,Down 1,3,10,-45,Pass,11,"""*1x3+"", shotgun offset L",RB bk,,,Ebron (R3),Inc.,0,,,RS,S,,,Other Odd,4,,,,,,,,,,,
3,at GB,1,11:22,Down 7,1,10,-25,Pass,11,"""+2x2+"", pistol",,,,Throwaway,Inc.,0,,,,,,,Over,4,,,,,,,,,,,
3,at GB,1,9:11,Down 7,3,2,-47,Pass,11,"""*1x3-"", shotgun offset L",,,,Tate (L1),Catch,3,,,LM,S,,,Over,4,,,,,,,,,,,
3,at GB,1,8:32,Down 7,1,10,50,Pass,11,"""+1x3+"", shotgun offset L",,,,Ebron (L1),Catch,9,,,LM,S,,,Over,4,,,,,,,,,,,
3,at GB,1,7:09,Down 7,3,2,+42,Pass,21,"""-2x2+"", shotgun offset L",WR in,,,Riddick (R2),Catch,12,,,M,S,,,Under,4,,,,,,,,,,,
3,at GB,1,6:26,Down 7,1,10,+30,Pass,13,"""+2x3+"", shotgun",,,,Ebron (R2),Catch,5,,,RS,S,,,Under,4,,,,,,,,,,,
3,at GB,1,4:58,Down 7,3,11,+31,Pass,11,"""*2x2+"", shotgun offset R",,,,Ebron (L2),Catch,14,,,LM,IS,,,Other Odd,4,,,,,,,,,,,
3,at GB,1,3:38,Down 7,2,13,+20,Pass,11,"""-1x3*"", shotgun offset L",WR in,,,"Riddick (L RB, 2)",Catch,-3,,,RB Screen L,S,,,Over,4,,,,,,,,,,,
3,at GB,1,2:57,Down 7,3,16,+23,Pass,10,"""*1x3+"", shotgun offset L",,,,Boldin (R3),Inc.,0,,,RS,IS,,,2 Eagle Even,4,,,,,,,,,,,
3,at GB,1,0:53,Down 11,1,10,-21,Pass,12,"""*2x2+"", shotgun offset L",,,,Ebron (R2),Inc.,0,,Soft,M,S,,,Over,4,,,,,,,,,,,
3,at GB,1,0:49,Down 11,2,10,-21,Pass,12,"""*2x3+"", shotgun",RB orbit,,,Riddick (R2),Inc.,"LOS PD, Perry",,,RM,S,,,Over,4,,,,,,,,,,,
3,at GB,1,0:45,Down 11,3,10,-21,Pass,11,"""*1x3+"", shotgun offset L",,,,Tate (L1),Inc.,0,,,LS,S,,,Double A Gap,7,,,,,,,,,,,
3,at GB,2,13:19,Down 18,1,10,-23,Pass,11,"""+2x2*"", shotgun offset L",,,,M. Jones (R1),Catch,38,,,RS,D,,,Over,4,,,,,,,,,,,
3,at GB,2,11:52,Down 18,2,9,+38,Pass,11,"""+2x2+"", pistol",,,,Ebron (R2),"INT, Randall",,,,RM,S,,,Over,4,,,,,,,,,,,
3,at GB,2,10:15,Down 21,2,1,-34,Pass,11,"""+2x2*"", pistol",,,,Tate (L2),Catch,12,,,LS,S,,,Over,4,,,,,,,,,,,
3,at GB,2,8:52,Down 21,2,9,-47,Pass,11,"""*2x2-"", couple R-, shotgun offset L",WR in,,,Tate (R- CI),Inc.,0,,,RS,IS,,,Over,4,,,,,,,,,,,
3,at GB,2,8:45,Down 21,3,9,-47,Pass,11,"""*1x3+"", shotgun offset R",RB bk,,,Tate (R1),Catch,10,,,WR Screen R,S,,,Over,4,,,,,,,,,,,
3,at GB,2,6:32,Down 21,3,11,+44,Pass,11,"""*1x3+"", shotgun offset L",,,,Ebron (R3),Catch,20,,,RM,ID,,,Double A Gap,4,,,,,,,,,,,
3,at GB,2,5:18,Down 21,2,11,+25,Pass,11,"""+3x1*"", shotgun offset R",,,,M. Jones (L1),Inc.,0,,,LS,D,,,Over,4,,,,,,,,,,,
3,at GB,2,5:11,Down 21,3,11,+25,Pass,11,"""+2x2+"", shotgun offset L",,,,Boldin (L2),Inc.,0,,,LM,IS,,,2 Eagle Even,4,,,,,,,,,,,
3,at GB,2,1:10,Down 28,1,10,-25,Pass,11,"""+3x1+"", shotgun offset R",,,,"Riddick (R RB, 2)",Catch,2,,,Swing R,S,,,Over,4,,,,,,,,,,,
3,at GB,2,0:42,Down 28,2,8,-27,Pass,11,"""+2x2+"", shotgun offset L",,,,M. Jones (R1),"Catch, TD",73,,,RS,ID,,,2 Eagle Even,4,,,,,,,,,,,
3,at GB,3,14:54,Down 21,1,10,-23,Pass,11,"""+2x2+"", shotgun offset L",,,,M. Jones (R1),Catch,23,,,RS,ID,,,Over,4,,,,,,,,,,,
3,at GB,3,12:36,Down 21,1,10,+41,Pass,11,"""+2x2*"", pistol",,,,Boldin (L2),Catch,7,,,M,S,,,Over,4,,,,,,,,,,,
3,at GB,3,11:18,Down 21,1,10,+27,Pass,11,"""+2x2*"", shotgun offset R",,,,"Riddick (R RB, 3)",Catch,6,,,M,S,,,Over,4,,,,,,,,,,,
3,at GB,3,10:40,Down 21,2,4,+21,Pass,11,"""+2x2-"", pistol",,,,Tate (L2),Catch,15,,,LS,S,,,Over,4,,,,,,,,,,,
3,at GB,3,9:54,Down 21,1,G-6,+6,Pass,20,"""+1x2+"", shotgun 2 RB",,,,"Riddick (L RB, 2)",Catch,5,,,LS,S,,,Over,4,,,,,,,,,,,
3,at GB,3,9:13,Down 21,2,G-1,+1,Pass,11,"""*1x3-"", singleback",,,,M. Jones (L1),Inc.,0,,,LS,S,,,Over,5,,,,,,,,,,,
3,at GB,3,8:26,Down 21,4,G-2,+2,Pass,11,"""-2x2+"", shotgun offset R",WR in,,,Boldin (R2),"Catch, TD",2,,,RS,S,,,Over,4,,,,,,,,,,,
3,at GB,3,3:08,Down 17,1,10,-18,Pass,11,"""+2x2+"", shotgun offset L",,,,"Ebron (R LOS TE, 2)",Catch,21,,,M,IS,,,Over,4,,,,,,,,,,,
3,at GB,3,1:51,Down 17,2,9,-40,Pass,11,"""+2x2*"", shotgun offset R",,,,"Wick (R LOS TE, 2)",Catch,13,,,M,S,,,Over,4,,,,,,,,,,,
3,at GB,3,0:36,Down 17,2,5,+42,Pass,11,"""+2x2+"", pistol",,,,Washington (RB 0),Catch,-3,,,Swing R,S,,,Under,4,,,,,,,,,,,
3,at GB,4,15:00,Down 17,3,8,+45,Pass,10,"""+3x1*"", shotgun offset R",,,,M. Jones (R1),Catch,17,,,RS,ID,,,2 Eagle Even,4,,,,,,,,,,,
3,at GB,4,14:28,Down 17,1,10,+28,Pass,21,"""+3x1*"", shotgun offset R",,,,Riddick (L1),Inc.,0,,,LS,ID,,,Under,6,,,,,,,,,,,
3,at GB,4,13:59,Down 17,2,20,+38,Pass,11,"""+2x2+"", shotgun offset L",,,,M. Jones (R1),Catch,19,,,RS,ID,,,Under,4,,,,,,,,,,,
3,at GB,4,13:18,Down 17,3,6,+24,Pass,11,"""+2x2+"", shotgun offset R",,,,,"Sack, Perry",-8,,,,,,,2 Eagle Even,4,,,,,,,,,,,
3,at GB,4,9:25,Down 14,1,10,-13,Pass,11,"""+2x2*"", shotgun offset R",,,,Boldin (L2),Catch,7,,Soft,RM,S,,,Over,4,,,,,,,,,,,
3,at GB,4,8:24,Down 14,1,10,-25,Pass,11,"""+2x2+"", shotgun offset L",,,,,"Sack, Fackrell",-9,,Soft,,,,,Over,4,,,,,,,,,,,
3,at GB,4,7:42,Down 14,2,19,-16,Pass,11,"""+2x2+"", shotgun offset R",,,,Ebron (L2),Inc.,0,,,LM,D,,,Under,4,,,,,,,,,,,
3,at GB,4,7:38,Down 14,3,19,-16,Pass,11,"""+1x3+"", shotgun offset L",,,,,"Sack, Perry",0,,,,,,,2 Eagle Even,4,,,,,,,,,,,
3,at GB,4,5:05,Down 14,1,10,-38,Pass,11,"""+3x1+"", shotgun offset R",,,,"Riddick (R RB, 2)",Catch,9,,,RB Screen R,S,,,Over,4,,,,,,,,,,,
3,at GB,4,4:39,Down 14,2,1,-47,Pass,11,"""+2x2*"", shotgun offset L",,,,Boldin (L2),Catch,6,,,M,S,,,Over,4,,,,,,,,,,,
3,at GB,4,4:10,Down 14,2,6,+43,Pass,11,"""+3x1*"", shotgun offset R",,,,Roberts (R1),Inc.,0,,,RS,IS,,,Over,4,,,,,,,,,,,
3,at GB,4,4:05,Down 14,3,6,+43,Pass,11,"""+3x1*"", shotgun offset R",,,,"Riddick (R RB, 2)",Catch,8,,,RM,S,,,Other Odd,4,,,,,,,,,,,
3,at GB,4,3:40,Down 14,1,10,+35,Pass,11,"""+2x2+"", shotgun offset L",,,,M. Jones (R1),"Catch, TD",35,,,RM,D,,,Over,4,,,,,,,,,,,
4,at CHI,1,12:27,Tied,2,4,-26,Pass,11,"""-2x2-"", couple R-, shotgun offset R",,,,Boldin (L1),Catch,1,,,WR Screen L,S,,,Under,4,,,,,,,,,,,
4,at CHI,1,11:54,Tied,3,3,-27,Pass,11,"""+1x3+"", shotgun offset L",,,,Ebron (L1),Inc.,0,,,LS,S,,,Over,4,,,,,,,,,,,
4,at CHI,1,6:31,Down 7,1,15,-11,Pass,11,"""+3x2+"", shotgun",,,,Riddick (R2),Inc.,,"Illegal forward pass, Stafford, -5",,RS,IS,,,Other Odd,3,,,,,,,,,,,
4,at CHI,1,6:22,Down 7,2,18,-8,Pass,11,"""+3x1*"", shotgun offset R",,,,"Riddick (R RB, 2)",Inc.,0,,,RS,S,,,Under,3,,,,,,,,,,,
4,at CHI,1,6:14,Down 7,3,18,-8,Pass,11,"""+3x1*"", shotgun offset L",,,,M. Jones (R1),Inc.,0,,,M,S,,,Under,4,,,,,,,,,,,
4,at CHI,1,3:01,Down 7,2,5,-25,Pass,11,"""-2x2-"", shotgun offset L",,,,Boldin (L1),Catch,5,,Soft,WR Screen L,S,,,Over,3,,,,,,,,,,,
4,at CHI,1,1:54,Down 7,2,9,-31,Pass,11,"""*1x3+"", shotgun offset L",,,,,"Sack, Hicks",-7,,,,,,,Over,4,,,,,,,,,,,
4,at CHI,1,1:15,Down 7,3,16,-24,Pass,11,"""*2x2+"", shotgun offset R",,,,"Washington (R RB, 3)",Catch,8,,,RB Screen R,S,,,Over,4,,,,,,,,,,,
4,at CHI,2,11:50,Down 7,1,10,-34,Pass,12,"""-3x1+"", closed L, dual TE LOS, singleback",WR in,,,"Wick (L LOS TE, 1)",Inc.,0,,"Hard, roll",RS,D,,,Other Odd,4,,,,,,,,,,,
4,at CHI,2,11:42,Down 7,2,10,-34,Pass,12,"""*1x3+"", shotgun offset L",,,,"Riddick (L RB, 2)",Catch,4,,,LM,S,,,Under,4,,,,,,,,,,,
4,at CHI,2,11:14,Down 7,3,6,-38,Pass,11,"""+2x2+"", shotgun offset R",,,,"Riddick (R RB, 3)",Inc.,0,,,RS,S,,,Other Odd,4,,,,,,,,,,,
4,at CHI,2,6:14,Down 7,1,20,-28,Pass,11,"""+2x3+"", shotgun",,,,M. Jones (L1),Catch,17,,,LM,S,,,Over,3,,,,,,,,,,,
4,at CHI,2,5:44,Down 7,2,3,-45,Pass,11,"""+2x2+"", pistol",TE in,,,Tate (R1),Catch,1,,,WR Screen R,S,,,Over,4,,,,,,,,,,,
4,at CHI,2,4:38,Down 7,2,10,+49,Pass,12,"""-3x1*"", shotgun offset R",,,,"Lee (L LOS TE, 3)",Inc.,0,,,LS,S,,,Other Odd,4,,,,,,,,,,,
4,at CHI,2,4:33,Down 7,3,10,+49,Pass,11,"""+2x2+"", shotgun offset L",,,,Boldin (L2),Catch,10,,,RM,IS,,,2 Eagle Even,4,,,,,,,,,,,
4,at CHI,2,3:53,Down 7,1,15,+44,Pass,11,"""+2x2*"", shotgun offset L",,,,M. Jones (L1),Catch,6,,Soft,LM,S,,,Under,4,,,,,,,,,,,
