Week,Opponent,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Red_Zone,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Singleback,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Penalty_Team,Penalty_Type,Penalty_Yards,Successful_Pass,Successful_Run,Successful_Play,Field_Goal,Field_Goal_Dist,Sack_TFL,Sack_TFL_Yards,Home/Road
1,MIA,4,3:05,-4,4.0,1.0,-34,Run,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",TE in,Michael,,N/A,N/A,7.0,,,,,M,,Under,,0,66,0.0,7.0,3,05,1.0,1.0,3.0,0.0,Narrow,Normal,1.0,Left,0.0,,,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Home
1,MIA,4,2:11,-4,3.0,4.0,-47,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,Kearse (R3),"LOS PD, Suh",0.0,,,LM,S,,,Over,4,0,53,0.0,0.0,2,11,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
1,MIA,4,2:08,-4,4.0,4.0,-47,Pass,11,"""-1x3+"", shotgun offset L",,N/A,,Baldwin (R3),Catch,22.0,,,LM,IS,,,2 Eagle Even,4,0,53,0.0,22.0,2,08,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,1.0,22.0,0.0,,1.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
1,MIA,4,1:57,-4,2.0,6.0,27,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,"Graham (L LOS TE, 1)",Catch,11.0,,,LM,S,,,Over,4,0,27,0.0,11.0,1,57,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
1,MIA,4,0:57,-4,1.0,2.0,2,Run,11,"""+3x1-"", closed R, bunch L*, shotgun offset R",,Michael,,N/A,N/A,2.0,,,,,M,,2 Eagle Odd,,1,2,1.0,2.0,0,57,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Home
2,LAR,1,6:53,-3,1.0,10.0,-19,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,"Rawls (R RB, 2)",Catch,2.0,,,RM,S,,,Over,4,0,81,0.0,2.0,6,53,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,RB,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,1,6:22,-3,2.0,10.0,-21,Run,11,"""*3x1-"", closed R, bunch L-, shotgun offset R",,R. Wilson,,N/A,N/A,-2.0,,,,,OR,,Over,,0,79,0.0,-2.0,6,22,1.0,1.0,3.0,0.0,Normal,Narrow,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,1.0,-2.0,Road
2,LAR,1,5:29,-3,3.0,5.0,-24,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Baldwin (L3),Catch,7.0,,,LM,S,,,Other Odd,5,0,76,0.0,7.0,5,29,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,3,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Road
2,LAR,1,0:35,-3,1.0,13.0,13,Pass,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",,N/A,,Lockett (BO),Catch,4.0,,"Def. face mask, T. Johnson, +5",WR Screen R,S,,,Over,4,1,13,1.0,4.0,0,35,1.0,1.0,3.0,0.0,Narrow,Normal,1.0,Left,0.0,,,0.0,,,WR,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,2,14:54,-3,3.0,5.0,5,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Kearse (L2),Inc.,0.0,,,LS,S,,,2 Eagle Odd,4,1,5,1.0,0.0,14,54,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,1.0,22.0,0.0,,Road
2,LAR,2,13:43,0,1.0,10.0,-19,Run,12,"""-1x3+"", closed L, shotgun offset L",,Michael,"C, RG",N/A,N/A,3.0,,,,,OR,,Over,,0,81,0.0,3.0,13,43,1.0,2.0,2.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,2,13:08,0,2.0,7.0,-22,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Baldwin (R3),Catch,8.0,,,LS,S,,,Over,4,0,78,0.0,8.0,13,08,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Road
2,LAR,2,10:44,0,3.0,7.0,-33,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Richardson (L1),Inc.,0.0,,,LS,D,,,Other Odd,4,0,67,0.0,0.0,10,44,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,2,6:31,0,3.0,10.0,-35,Pass,11,"""-1x3-"", closed L, bunch R-, shotgun offset L",,N/A,,Richardson (BI),Catch,14.0,,,RS,IS,,,2 Eagle Even,4,0,65,0.0,14.0,6,31,1.0,1.0,3.0,0.0,Narrow,Narrow,1.0,Left,0.0,,,0.0,,,WR,,,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Road
2,LAR,2,1:01,-3,1.0,10.0,-14,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,"Graham (L LOS TE, 1)",Catch,9.0,,,LM,S,,,Other Odd,4,0,86,0.0,9.0,1,01,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Road
2,LAR,3,5:47,-3,1.0,10.0,-20,Run,11,"""+3x1-"", closed R, shotgun offset L",,Michael,"LG, C, RG",N/A,N/A,16.0,,,,,OR,,Over,,0,80,0.0,16.0,5,47,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,1.0,16.0,1.0,,,0.0,,1.0,1.0,0.0,,0.0,,Road
2,LAR,3,5:18,-3,1.0,10.0,-36,Run,11,"""*3x1-"", closed R, bunch L-, shotgun offset L",,Collins,"LG, C, RG",N/A,N/A,,,,,,OR,,Over,,0,64,0.0,,5,18,1.0,1.0,3.0,0.0,Normal,Narrow,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,4,14:10,-6,1.0,10.0,-25,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Kearse (L2),Catch,2.0,,,LS,S,,,Over,4,0,75,0.0,2.0,14,10,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,4,13:39,-6,2.0,8.0,-27,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,Baldwin (R3),Inc.,0.0,,,LS,D,,,2 Eagle Odd,4,0,73,0.0,0.0,13,39,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,4,6:51,-6,2.0,10.0,-39,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,Baldwin (R3),Inc.,0.0,,,RS,S,,,Other Odd,4,0,61,0.0,0.0,6,51,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
2,LAR,4,1:27,-6,2.0,15.0,40,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,Baldwin (R3),Catch,5.0,,,RM,S,,,Other Odd,5,0,40,0.0,5.0,1,27,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
3,SF,1,11:19,7,2.0,10.0,-38,Pass,12,"""+3x1-"", closed R, shotgun offset R",,N/A,,"Michael (R RB, 2)",Catch,0.0,,,Swing R,S,,,Over,4,0,62,0.0,0.0,11,19,1.0,2.0,2.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,RB,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,1,6:38,7,1.0,10.0,25,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,"Collins (L RB, 2)",Catch,9.0,,,LM,S,,,Other Odd,4,0,25,0.0,9.0,6,38,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,RB,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
3,SF,1,4:49,7,2.0,13.0,16,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,"Graham (L LOS TE, 1)",Catch,12.0,,,LM,S,,,Over,4,0,16,1.0,12.0,4,49,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
3,SF,1,4:11,7,3.0,1.0,4,Run,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",,"Michael, TD",,N/A,N/A,4.0,,,,,M,,Under,,0,4,1.0,4.0,4,11,1.0,1.0,3.0,0.0,Narrow,Normal,1.0,Left,0.0,,,0.0,,,,,,1.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Home
3,SF,1,2:22,14,1.0,10.0,-20,Run,11,"""+3x1-"", closed R, bunch L-, shotgun offset L",,Michael,,N/A,N/A,0.0,,,,,M,,Under,,0,80,0.0,0.0,2,22,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,1,1:42,14,2.0,9.0,-20,Run,11,"""+3x1-"", closed R, singleback",,Michael,,N/A,N/A,-1.0,,,,,IR,,Other Odd,,0,80,0.0,-1.0,1,42,1.0,1.0,3.0,0.0,Wide,Narrow,0.0,,0.0,,1.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,1.0,-1.0,Home
3,SF,2,8:52,11,2.0,14.0,-23,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,"Graham (L LOS TE, 1)","LOS PD, Brooks",0.0,,,M,S,,,Over,4,0,77,0.0,0.0,8,52,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,2,8:00,11,1.0,10.0,18,Pass,12,"""-1x3-"", bunch R-, shotgun offset L",,N/A,,Graham (BP),"Catch, TD",18.0,,,LM,D,,,Over,5,0,18,1.0,18.0,8,00,1.0,2.0,2.0,0.0,Narrow,Narrow,1.0,Left,0.0,,,0.0,,,WR,,,1.0,1.0,18.0,0.0,,1.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
3,SF,2,3:46,18,2.0,10.0,-43,Run,11,"""+3x1-"", closed R, pistol",,Michael,,N/A,N/A,7.0,"Off. Holding, Webb, -10",,,,IL,,Other Odd,,0,57,0.0,17.0,3,46,1.0,1.0,3.0,0.0,Wide,Narrow,0.0,,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,Offense,Off. Holding,-10.0,,1.0,1.0,0.0,,0.0,,Home
3,SF,2,3:17,18,2.0,20.0,-33,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,"Graham (R LOS TE, 1)",Catch,3.0,,,LM,S,,,Other Even,4,0,67,0.0,3.0,3,17,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,TE,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,2,2:04,18,1.0,10.0,24,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Baldwin (L1),Inc.,0.0,,,LS,D,,,Other Odd,5,0,24,0.0,0.0,2,04,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,2,1:22,18,3.0,1.0,15,Run,11,"""-1x3+"", closed L, bunch R-, shotgun offset L",,Michael,,N/A,N/A,0.0,,,,,M,,Other Odd,,0,15,1.0,0.0,1,22,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,1.0,32.0,0.0,,Home
3,SF,3,13:28,21,1.0,10.0,-9,Pass,12,"""-1x3-"", bunch R-, shotgun offset L",,N/A,,Throwaway,Inc.,0.0,,,,,,,Under,4,0,91,0.0,0.0,13,28,1.0,2.0,2.0,0.0,Narrow,Narrow,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,3,10:15,21,2.0,21.0,37,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,"Graham (L LOS TE, 1)",Inc.,0.0,,,LS,IS,,,Over,4,0,37,0.0,0.0,10,15,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,3,8:32,21,2.0,17.0,29,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,Baldwin (R3),Catch,10.0,,,RS,S,,,2 Eagle Odd,5,0,29,0.0,10.0,8,32,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,3,1:30,27,1.0,10.0,-42,Run,12,"""+3x1+"", shotgun offset R",,Michael,,N/A,N/A,7.0,,,,,M,,Over,,0,58,0.0,7.0,1,30,1.0,2.0,2.0,0.0,Wide,Wide,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Home
3,SF,4,14:18,27,1.0,10.0,20,Run,11,"""+1x3+"", shotgun offset R",,Boykin,,N/A,N/A,0.0,,,,,OR,,Under,,0,20,1.0,0.0,14,18,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
3,SF,4,7:50,27,1.0,10.0,-25,Pass,11,"""+3x1+"", shotgun offset L",,N/A,,Kearse (R3),Catch,9.0,,Hard,WR Screen R,S,,,Over,4,0,75,0.0,9.0,7,50,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
3,SF,4,5:08,27,3.0,1.0,-47,Pass,11,"""+1x3+"", shotgun offset R",,N/A,,Kearse (R3),Catch,2.0,,Hard,WR Screen R,S,,,Over,3,0,53,0.0,2.0,5,08,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
4,NYJ,1,5:18,-3,1.0,10.0,-35,Pass,12,"""+1x3+"", shotgun offset L",,N/A,,Graham (L1),Catch,17.0,,,LS,IS,,,Over,5,0,65,0.0,17.0,5,18,1.0,2.0,2.0,0.0,Wide,Wide,1.0,Left,0.0,,,0.0,,,WR,1,Left,0.0,1.0,17.0,0.0,,1.0,,,0.0,1.0,,1.0,0.0,,0.0,,Road
4,NYJ,2,7:10,4,1.0,10.0,-35,Run,12,"""-1x3+"", closed L, singleback",TE in,Michael,RT,N/A,N/A,1.0,,,,,IR,,2 Eagle Odd,,0,65,0.0,1.0,7,10,1.0,2.0,2.0,0.0,Narrow,Wide,0.0,,0.0,,1.0,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
4,NYJ,2,6:30,4,2.0,9.0,-36,Pass,12,"""-3x1-"", closed R, singleback",TE in,N/A,,Kearse (L1),Catch,10.0,,,WR Screen L,S,,,Under,4,0,64,0.0,10.0,6,30,1.0,2.0,2.0,0.0,Narrow,Narrow,0.0,,0.0,,1.0,1.0,TE,in,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Road
4,NYJ,2,4:31,4,3.0,3.0,47,Run,11,"""+3x1-"", closed R, bunch L+, shotgun offset R",,Michael,,N/A,N/A,4.0,,,,,M,,Over,,0,47,0.0,4.0,4,31,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Road
4,NYJ,3,14:18,4,2.0,7.0,-25,Run,12,"""-1x3+"", closed L, shotgun offset L",TE out,N/A,,"Michael (L RB, 2)",Catch,6.0,,,Swing L,S,,,2 Eagle Odd,5,0,75,0.0,6.0,14,18,1.0,2.0,2.0,0.0,Narrow,Wide,1.0,Left,0.0,,,1.0,TE,out,RB,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Road
4,NYJ,3,7:43,4,1.0,10.0,-45,Pass,12,"""-1x3+"", closed L, shotgun offset L",,N/A,,"L. Wilson (L LOS TE, 1)",Inc.,0.0,,,LM,ID,,,2 Eagle Odd,5,0,55,0.0,0.0,7,43,1.0,2.0,2.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
4,NYJ,3,4:28,4,2.0,10.0,14,Pass,11,"""-1x3+"", closed L, shotgun offset L",,N/A,,"Graham (L LOS TE, 1)",Inc.,0.0,,,LS,ID,,,Under,5,0,14,1.0,0.0,4,28,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Road
4,NYJ,4,10:31,14,3.0,11.0,-24,Pass,11,"""-1x3-"", bunch R-, shotgun offset L",,N/A,,Graham (L1),Catch,13.0,,,RM,S,,,Double A Gap,5,0,76,0.0,13.0,10,31,1.0,1.0,3.0,0.0,Narrow,Narrow,1.0,Left,0.0,,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Road
4,NYJ,4,4:55,14,3.0,11.0,21,Pass,11,"""-1x3+"", shotgun offset L",,N/A,,N/A,"Sack, Skrine",-14.0,,,,,,,Under,4,0,21,0.0,-14.0,4,55,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,1.0,-14.0,Road
4,NYJ,4,2:14,10,1.0,10.0,-47,Run,11,"""+1x3*"", bunch R-, shotgun offset L",,Michael,,N/A,N/A,6.0,,,,,M,,2 Eagle Odd,,0,53,0.0,6.0,2,14,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Left,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Road
